input_name,input_address,input_url,google_name,google_address,google_url,name_match,address_match,placeid_url,name,url,url_hash,address,latitude,longitude,poicode,matched_poicode_old,matched,query
"C4, 3rd Cross, Andheri Lokhandwala, Andheri West, Mumbai",https://www.zomato.com/mumbai/big-boys-house-2-andheri-lokhandwala,5ac94f2e092f7bb7306dc9547f92302282f8c1c0,FUNKY BOYS BOUTIQUE,"
Shop no. 3, Acropolis Apartment, W, 3rd Cross Rd, Lokhandwala Complex, Andheri West, Andheri, Maharashtra 400053","https://www.google.com/maps/place/FUNKY+BOYS+BOUTIQUE/@19.1467453,72.7925876,14z/data=!4m10!1m2!2m1!1sBig+Boys+House+C4,+3rd+Cross,+Andheri+Lokhandwala,+Andheri+West,+Mumbai!3m6!1s0x3be7b614401acb33:0xd714009485e7bc83!8m2!3d19.1439681!4d72.823962!15sCkdCaWcgQm95cyBIb3VzZSBDNCwgM3JkIENyb3NzLCBBbmRoZXJpIExva2hhbmR3YWxhLCBBbmRoZXJpIFdlc3QsIE11bWJhaVpFIkNiaWcgYm95cyBob3VzZSBjNCAzcmQgY3Jvc3MgYW5kaGVyaSBsb2toYW5kd2FsYSBhbmRoZXJpIHdlc3QgbXVtYmFpkgEOY2xvdGhpbmdfc3RvcmXgAQA!16s%2Fg%2F1wk4bjn9?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D",False,False,0x3be7b614401acb33:0xd714009485e7bc83,Big Boys House,https://www.zomato.com/mumbai/big-boys-house-2-andheri-lokhandwala,5ac94f2e092f7bb7306dc9547f92302282f8c1c0,"C4, 3rd Cross, Andheri Lokhandwala, Andheri West, Mumbai",19.1439681,72.823962,,,False,"Big Boys House, C4, 3rd Cross, Andheri Lokhandwala, Andheri West, Mumbai"
"Shop 5, Ashok Nagar, Opposite Axis Bank, Kandivali East, Mumbai",https://www.zomato.com/mumbai/london-bubble-co-kandivali-east,48361f0e01a9780416ab830f81ab54ae4d45334c,Axis Bank Branch,"
Unit No 1 & 2, Crescent Business Boulevard, Ashok Chakravarti Rd, Kandivali, Ashok Nagar, Kandivali East, Mumbai, Maharashtra 400101","https://www.google.com/maps/place/Axis+Bank+Branch/@19.1989661,72.8391143,15z/data=!3m1!5s0x3be7b721f7af2811:0x895d78e0b3226bb9!4m10!1m2!2m1!1sLondon+Bubble+Co.+Shop+5,+Ashok+Nagar,+Opposite+Axis+Bank,+Kandivali+East,+Mumbai!3m6!1s0x3be7b718acafd08d:0xd8d53fe7af50d165!8m2!3d19.1989661!4d72.8571387!15sClFMb25kb24gQnViYmxlIENvLiBTaG9wIDUsIEFzaG9rIE5hZ2FyLCBPcHBvc2l0ZSBBeGlzIEJhbmssIEthbmRpdmFsaSBFYXN0LCBNdW1iYWkiA4gBAVpOIkxsb25kb24gYnViYmxlIGNvIHNob3AgNSBhc2hvayBuYWdhciBvcHBvc2l0ZSBheGlzIGJhbmsga2FuZGl2YWxpIGVhc3QgbXVtYmFpkgEEYmFua-ABAA!16s%2Fg%2F1tfrqczq?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D",False,False,0x3be7b721f7af2811:0x895d78e0b3226bb9,,,,,,,,,,
"Hotel Mumbai House, Near Divine Child School, Chakala, Mumbai",https://www.zomato.com/mumbai/ghar-ka-khaana-mumbai-house-chakala,5c79da86bf212fd465c0cc6e3520fc47a6678617,"Hotel Mumbai House, Andheri East","
Andheri - Kurla Rd, opposite Courtyard Marriot, Dr. Charatsingh Colony, S B Singh Colony, J B Nagar, Andheri East, Mumbai, Maharashtra 400093","https://www.google.com/maps/place/Hotel+Mumbai+House,+Andheri+East/@19.1122689,72.860787,17z/data=!4m9!3m8!1s0x3be7c83a07f97bf3:0x8729ced3c22fdeb2!5m2!4m1!1i2!8m2!3d19.1122689!4d72.8633619!16s%2Fg%2F11gcdq45wl?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D",False,False,0x3be7c83a07f97bf3:0x8729ced3c22fdeb2,Ghar Ka Khaana - Mumbai House,https://www.zomato.com/mumbai/ghar-ka-khaana-mumbai-house-chakala,5c79da86bf212fd465c0cc6e3520fc47a6678617,"Hotel Mumbai House, Near Divine Child School, Chakala, Mumbai",19.1122689,72.8633619,,,False,"Ghar Ka Khaana - Mumbai House, Hotel Mumbai House, Near Divine Child School, Chakala, Mumbai"
"Shop 7 & 8, Pride CHS, Near Utsav Chowk, Sector 7, Kharghar, Navi Mumbai",https://www.zomato.com/mumbai/birista-biryanis-kebabs-1-kharghar-navi-mumbai,dcb73ce2ed1dfe4691c26eec9f819022002cea97,Thaal By Birista Biryani,"
Near, Shop No 7& 8 Pride Residency, Utsaw Chowk Perimeter Rd, Sector 7, Kharghar, Panvel, Maharashtra 410210","https://www.google.com/maps/place/Thaal+By+Birista+Biryani/@19.0376752,73.0603028,17z/data=!3m1!4b1!4m6!3m5!1s0x3be7c3a09c5f39b9:0xed020f068dc3350d!8m2!3d19.0376752!4d73.0628777!16s%2Fg%2F11h0bb88f2?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D",False,False,0x3be7c3a09c5f39b9:0xed020f068dc3350d,Birista - Biryanis & Kebabs,https://www.zomato.com/mumbai/birista-biryanis-kebabs-1-kharghar-navi-mumbai,dcb73ce2ed1dfe4691c26eec9f819022002cea97,"Shop 7 & 8, Pride CHS, Near Utsav Chowk, Sector 7, Kharghar, Navi Mumbai",19.0376752,73.0628777,,,False,"Birista - Biryanis & Kebabs, Shop 7 & 8, Pride CHS, Near Utsav Chowk, Sector 7, Kharghar, Navi Mumbai"
"Shop 4, Plot 18, Ragina CHS, Sector 20A, Airoli, Navi Mumbai",https://www.zomato.com/mumbai/creamy-cool-2-airoli-navi-mumbai,cfa15993038e443c0800467cfa858968c4180e44,CREAMY COOL Airoli,"
Shop no.4, Regina CHS, plot no.18, Sector 20A, Sector-19, Airoli, Navi Mumbai, Maharashtra 400708","https://www.google.com/maps/place/CREAMY+COOL+Airoli/@19.1612737,72.9888271,17z/data=!3m1!4b1!4m6!3m5!1s0x3be7b9b745aa56cd:0xe98f56888cb16811!8m2!3d19.1612737!4d72.991402!16s%2Fg%2F11vt05xwt5?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D",True,False,0x3be7b9b745aa56cd:0xe98f56888cb16811,,,,,,,,,,
"Shop 2, Shantiniketan Building, SV Road, Irla, Vile Parle West, Mumbai",https://www.zomato.com/mumbai/cafe-arabicah-vile-parle-west,9e81109a1d2840f16d7aea799fc0095082f4224e,abcoffee Vile Parle East,"
Shop No.2 and 2/A, Hanuman Rd, Vishnu Prasad Society, Navpada, Vile Parle East, Vile Parle, Mumbai, Maharashtra 400057","https://www.google.com/maps/place/abcoffee+Vile+Parle+East/@19.1037747,72.5623491,11z/data=!4m10!1m2!2m1!1sCafe+Arabicah+Shop+2,+Shantiniketan+Building,+SV+Road,+Irla,+Vile+Parle+West,+Mumbai!3m6!1s0x3be7c9a69e6a99c7:0x1cdad8b83d807ea9!8m2!3d19.1037747!4d72.8507402!15sClRDYWZlIEFyYWJpY2FoIFNob3AgMiwgU2hhbnRpbmlrZXRhbiBCdWlsZGluZywgU1YgUm9hZCwgSXJsYSwgVmlsZSBQYXJsZSBXZXN0LCBNdW1iYWlaUSJPY2FmZSBhcmFiaWNhaCBzaG9wIDIgc2hhbnRpbmlrZXRhbiBidWlsZGluZyBzdiByb2FkIGlybGEgdmlsZSBwYXJsZSB3ZXN0IG11bWJhaZIBC2NvZmZlZV9zaG9w4AEA!16s%2Fg%2F11l2cn_7cb?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D",False,False,0x3be7c9a69e6a99c7:0x1cdad8b83d807ea9,Cafe Arabicah,https://www.zomato.com/mumbai/cafe-arabicah-vile-parle-west,9e81109a1d2840f16d7aea799fc0095082f4224e,"Shop 2, Shantiniketan Building, SV Road, Irla, Vile Parle West, Mumbai",19.1037747,72.85074019999999,,,False,"Cafe Arabicah, Shop 2, Shantiniketan Building, SV Road, Irla, Vile Parle West, Mumbai"
"374 B/19, Wing B Building, Kanti Park, Opposite Phoenix Hospital, Kandivali West, Mumbai",https://www.zomato.com/mumbai/coffee-bae-social-kandivali-west,650b6551a87349a719821dad6f52fdf3276ddedf,Coffee Bae Social,"
Shop number 1, Om Shree Ganesh Chs, next to Phoenix hospital, Shivkrupa CHS, RDP 8, Chikoowadi, Borivali West, Mumbai, Maharashtra 400092","https://www.google.com/maps/place/Coffee+Bae+Social/@19.2196412,72.8349133,17z/data=!3m1!4b1!4m6!3m5!1s0x3be7b106804904e9:0x524db1d5842c142b!8m2!3d19.2196412!4d72.8374882!16s%2Fg%2F11q3lx7s39?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D",True,False,0x3be7b106804904e9:0x524db1d5842c142b,,,,,,,,,,
"Shop 4, Unnat Nagar 2, Near Maruti Mandir, Goregaon West, Mumbai",https://www.zomato.com/mumbai/the-reals-snacks-corner-1-goregaon-west,017d1f7990b64b9f874e047da3184e537ed7d0f1,The Real Snacks Corner,"
Shop no 6, no 2, Swami Vivekanand Rd, next to Maruti Mandir, Unnat Nagar, Goregaon West, Mumbai, Maharashtra 400104","https://www.google.com/maps/place/The+Real+Snacks+Corner/@19.1690678,72.8420939,17z/data=!3m1!4b1!4m6!3m5!1s0x3be7b7487c4c9715:0xfa0b57565c80ec3!8m2!3d19.1690678!4d72.8446688!16s%2Fg%2F11p75rdt7y?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D",False,False,0x3be7b7487c4c9715:0xfa0b57565c80ec3,,,,,,,,,,
"1st Floor, Saraswati Building, 100 Feet Road, Bhayandar, Mumbai",https://www.zomato.com/mumbai/pace-entertainment-bhayandar,31f7cf820127ddadbc3553b2140b308f66049088,Pace Entertainment : Best Cafe + Snooker + Play Station,"
1st Floor, Saraswati Building, 100 feet, Shri Maheshwari Bhawan Rd, Bhayandar West, Mumbai, Mira Bhayandar, Maharashtra 401101","https://www.google.com/maps/place/Pace+Entertainment+:+Best+Cafe+%2B+Snooker+%2B+Play+Station/@19.2919297,72.8500627,17z/data=!3m1!4b1!4m6!3m5!1s0x3be7b16e91bb9673:0xb7a325e368821967!8m2!3d19.2919297!4d72.8526376!16s%2Fg%2F11xny9kzw7?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D",True,False,0x3be7b16e91bb9673:0xb7a325e368821967,Pace Entertainment,https://www.zomato.com/mumbai/pace-entertainment-bhayandar,31f7cf820127ddadbc3553b2140b308f66049088,"1st Floor, Saraswati Building, 100 Feet Road, Bhayandar, Mumbai",19.2919297,72.8526376,,,False,"Pace Entertainment, 1st Floor, Saraswati Building, 100 Feet Road, Bhayandar, Mumbai"
"Sahara Star, Opposite Domestic Airport, Nehru Road, Vile Parle East, Mumbai",https://www.zomato.com/mumbai/the-opal-bar-vile-parle-east,5841f25e955d17397008787af83fe1c678b852a4,Hotel Sahara Star,"
Chhatrapati Shivaji International, 70-C, Nehru Rd, Navpada, Airport Area, Vile Parle, Mumbai, Maharashtra 400099","https://www.google.com/maps/place/Hotel+Sahara+Star/@19.095726,72.817605,14z/data=!4m13!1m2!2m1!1sThe+Opal+Bar+Sahara+Star,+Opposite+Domestic+Airport,+Nehru+Road,+Vile+Parle+East,+Mumbai!3m9!1s0x3be7c84d72dc43bd:0xa4514aaf014d9ae4!5m2!4m1!1i2!8m2!3d19.095726!4d72.8536539!15sClhUaGUgT3BhbCBCYXIgU2FoYXJhIFN0YXIsIE9wcG9zaXRlIERvbWVzdGljIEFpcnBvcnQsIE5laHJ1IFJvYWQsIFZpbGUgUGFybGUgRWFzdCwgTXVtYmFpWlYiVHRoZSBvcGFsIGJhciBzYWhhcmEgc3RhciBvcHBvc2l0ZSBkb21lc3RpYyBhaXJwb3J0IG5laHJ1IHJvYWQgdmlsZSBwYXJsZSBlYXN0IG11bWJhaZIBBWhvdGVs4AEA!16s%2Fg%2F1trxhrhz?entry=ttu&g_ep=EgoyMDI2MDMxOC4xIKXMDSoASAFQAw%3D%3D",False,False,0x3be7c84d72dc43bd:0xa4514aaf014d9ae4,,,,,,,,,,
