poicode,estimated_visit
POI_IND_9999_0x3be7c9cf7db1b385:0x2decfa02191963d9,141
POI_IND_9999_0x3be7c9cf7db1b385:0x2decfa02191963d9,141
POI_IND_9999_0x3be7c9cf7db1b385:0x2decfa02191963d9,511
POI_IND_9999_0x3be7b725fff36593:0xd811ff25d154ac25,400
POI_IND_9999_0x3be7b725fff36593:0xd811ff25d154ac25,348
POI_IND_9999_0x3be7b725fff36593:0xd811ff25d154ac25,280
POI_IND_9999_0x3be7b725fff36593:0xd811ff25d154ac25,204
POI_IND_9999_0x3be7b725fff36593:0xd811ff25d154ac25,102
POI_IND_9999_0x3be7b725fff36593:0xd811ff25d154ac25,530
POI_IND_9999_0x3be7b725fff36593:0xd811ff25d154ac25,298
POI_IND_9999_0x3be7b725fff36593:0xd811ff25d154ac25,432
POI_IND_9999_0x3be7b725fff36593:0xd811ff25d154ac25,402
POI_IND_9999_0x3be7b725fff36593:0xd811ff25d154ac25,483
POI_IND_9999_0x3be7b725fff36593:0xd811ff25d154ac25,265
POI_IND_9999_0x3be7b725fff36593:0xd811ff25d154ac25,338
POI_IND_9999_0x3be7b725fff36593:0xd811ff25d154ac25,286
POI_IND_9999_0x3be7b725fff36593:0xd811ff25d154ac25,396
POI_IND_9999_0x3be7b725fff36593:0xd811ff25d154ac25,336
POI_IND_9999_0x3be7b725fff36593:0xd811ff25d154ac25,627
POI_IND_9999_0x3be7b725fff36593:0xd811ff25d154ac25,326
POI_IND_9999_0x3be7b725fff36593:0xd811ff25d154ac25,445
POI_IND_9999_0x3be7b725fff36593:0xd811ff25d154ac25,343
POI_IND_9999_0x3be7b725fff36593:0xd811ff25d154ac25,101
POI_IND_9999_0x3be7b725fff36593:0xd811ff25d154ac25,286
POI_IND_9999_0x3be7b725fff36593:0xd811ff25d154ac25,419
POI_IND_9999_0x3be7b725fff36593:0xd811ff25d154ac25,166
POI_IND_9999_0x3be7b725fff36593:0xd811ff25d154ac25,142
POI_IND_9999_0x3be7b725fff36593:0xd811ff25d154ac25,201
POI_IND_9999_0x3be7b725fff36593:0xd811ff25d154ac25,103
POI_IND_9999_0x3be7b725fff36593:0xd811ff25d154ac25,484
POI_IND_9999_0x3be7b725fff36593:0xd811ff25d154ac25,63
POI_IND_9999_0x3be7b725fff36593:0xd811ff25d154ac25,200
POI_IND_9999_0x3be7c74c28d17af5:0x466b256c1addd746,201
POI_IND_9999_0x3be7c74c28d17af5:0x466b256c1addd746,129
POI_IND_9999_0x3be7c74c28d17af5:0x466b256c1addd746,75
POI_IND_9999_0x3be7c74c28d17af5:0x466b256c1addd746,177
POI_IND_9999_0x3be7c74c28d17af5:0x466b256c1addd746,1
POI_IND_9999_0x3be7c74c28d17af5:0x466b256c1addd746,122
POI_IND_9999_0x3be7c74c28d17af5:0x466b256c1addd746,100
POI_IND_9999_0x3be7c74c28d17af5:0x466b256c1addd746,299
POI_IND_9999_0x3be7c74c28d17af5:0x466b256c1addd746,30
POI_IND_9999_0x3be7c74c28d17af5:0x466b256c1addd746,1
POI_IND_9999_0x3be7c74c28d17af5:0x466b256c1addd746,101
POI_IND_9999_0x3be7c74c28d17af5:0x466b256c1addd746,99
POI_IND_9999_0x3be7c74c28d17af5:0x466b256c1addd746,1
POI_IND_9999_0x3be7c74c28d17af5:0x466b256c1addd746,110
POI_IND_9999_0x3be7c74c28d17af5:0x466b256c1addd746,100
POI_IND_9999_0x3be7c74c28d17af5:0x466b256c1addd746,298
POI_IND_9999_0x3be7c74c28d17af5:0x466b256c1addd746,98
POI_IND_9999_0x3be7c74c28d17af5:0x466b256c1addd746,199
POI_IND_9999_0x3be7c74c28d17af5:0x466b256c1addd746,86
POI_IND_9999_0x3be7c74c28d17af5:0x466b256c1addd746,1
POI_IND_9999_0x3be7c74c28d17af5:0x466b256c1addd746,131
POI_IND_9999_0x3be7c74c28d17af5:0x466b256c1addd746,220
POI_IND_9999_0x3be7c74c28d17af5:0x466b256c1addd746,102
POI_IND_9999_0x3be7c74c28d17af5:0x466b256c1addd746,98
POI_IND_9999_0x3be7c74c28d17af5:0x466b256c1addd746,34
POI_IND_9999_0x3be7c74c28d17af5:0x466b256c1addd746,129
POI_IND_9999_0x3be7c74c28d17af5:0x466b256c1addd746,131
POI_IND_9999_0x3be7c74c28d17af5:0x466b256c1addd746,301
POI_IND_9999_0x3be7c74c28d17af5:0x466b256c1addd746,374
POI_IND_9999_0x3be7c9c85fba2775:0xe609b548bf4f3787,103
POI_IND_9999_0x3be7c9c85fba2775:0xe609b548bf4f3787,360
POI_IND_9999_0x3be7c9c85fba2775:0xe609b548bf4f3787,300
POI_IND_9999_0x3be7c9c85fba2775:0xe609b548bf4f3787,100
POI_IND_9999_0x3be7c9c85fba2775:0xe609b548bf4f3787,461
POI_IND_9999_0x3be7c9c85fba2775:0xe609b548bf4f3787,201
POI_IND_9999_0x3be7c9c85fba2775:0xe609b548bf4f3787,303
POI_IND_9999_0x3be7c9c85fba2775:0xe609b548bf4f3787,1
POI_IND_9999_0x3be7c9c85fba2775:0xe609b548bf4f3787,130
POI_IND_9999_0x3be7c9c85fba2775:0xe609b548bf4f3787,100
POI_IND_9999_0x3be7c9c85fba2775:0xe609b548bf4f3787,200
POI_IND_9999_0x3be7c9c85fba2775:0xe609b548bf4f3787,200
POI_IND_9999_0x3be7c9c85fba2775:0xe609b548bf4f3787,1
POI_IND_9999_0x3be7c9c85fba2775:0xe609b548bf4f3787,163
POI_IND_9999_0x3be7c9c85fba2775:0xe609b548bf4f3787,202
POI_IND_9999_0x3be7c9c85fba2775:0xe609b548bf4f3787,1
POI_IND_9999_0x3be7c9c85fba2775:0xe609b548bf4f3787,100
POI_IND_9999_0x3be7c9c85fba2775:0xe609b548bf4f3787,100
POI_IND_9999_0x3be7c9c85fba2775:0xe609b548bf4f3787,101
POI_IND_9999_0x3be7c9c85fba2775:0xe609b548bf4f3787,300
POI_IND_9999_0x3be7c9c85fba2775:0xe609b548bf4f3787,100
POI_IND_9999_0x3be7c9c85fba2775:0xe609b548bf4f3787,200
POI_IND_9999_0x3be7c9c85fba2775:0xe609b548bf4f3787,101
POI_IND_9999_0x3be7c9c85fba2775:0xe609b548bf4f3787,100
POI_IND_9999_0x3be7c9c85fba2775:0xe609b548bf4f3787,100
POI_IND_9999_0x3be7c9c85fba2775:0xe609b548bf4f3787,103
POI_IND_9999_0x3be7c9c85fba2775:0xe609b548bf4f3787,201
POI_IND_9999_0x3be7c9c85fba2775:0xe609b548bf4f3787,301
