h3index,district_code,wbi
89608b0904fffff,IN.MH.MU,71.3993498
89608b092a3ffff,IN.MH.MU,74.57394299
89608b094a7ffff,IN.MH.MU,70.09401594
89608b0963bffff,IN.MH.MU,72.38451657
89608b0b2cbffff,IN.MH.MU,60.52011201
89608b44487ffff,IN.MH.MU,71.27903279
89608b44573ffff,IN.MH.MU,70.86658099
89608b4640bffff,IN.MH.MU,53.85169581
89608b541bbffff,IN.MH.MU,67.40418565
89608b543afffff,IN.MH.MU,65.28469349
89608b549dbffff,IN.MH.MU,76.06075479
89608b54b7bffff,IN.MH.MU,67.75797352
89608b56953ffff,IN.MH.MU,75.21827175
89608b56a0fffff,IN.MH.MU,74.05519948
89608b093c3ffff,IN.MH.MU,66.06670424
89608b19287ffff,IN.MH.MU,51.84618136
89608b4403bffff,IN.MH.MU,69.14924988
89608b4546bffff,IN.MH.MU,53.655332
89608b46d0bffff,IN.MH.MU,58.05186309
89608b5419bffff,IN.MH.MU,63.02644633
89608b548bbffff,IN.MH.MU,74.66630606
89608b5501bffff,IN.MH.MU,53.27056463
89608b56913ffff,IN.MH.MU,74.78437602
89608b56957ffff,IN.MH.MU,75.6181623
89608b09227ffff,IN.MH.MU,69.91160998
89608b09257ffff,IN.MH.MU,76.27631548
89608b0948bffff,IN.MH.MU,70.65823526
89608b0969bffff,IN.MH.MU,75.10767907
89608b4552bffff,IN.MH.MU,61.71430488
89608b45593ffff,IN.MH.MU,76.51586533
89608b549a7ffff,IN.MH.MU,66.39583208
89608b54acfffff,IN.MH.MU,54.24621248
89608b54e83ffff,IN.MH.MU,73.17768607
89608b0b043ffff,IN.MH.MU,69.67184952
89608b19adbffff,IN.MH.MU,64.1020557
89608b44677ffff,IN.MH.MU,68.23033712
89608b44cd3ffff,IN.MH.MU,47.05239827
89608b454abffff,IN.MH.MU,65.18491871
89608b46177ffff,IN.MH.MU,64.60770117
89608b46823ffff,IN.MH.MU,49.19983672
89608b5439bffff,IN.MH.MU,66.8992887
89608b548afffff,IN.MH.MU,76.16807117
89608b54eb3ffff,IN.MH.MU,69.75439913
89608b55323ffff,IN.MH.MU,57.92410853
89608b553bbffff,IN.MH.MU,69.98563954
89608b56d6fffff,IN.MH.MU,73.30947773
89608b56dabffff,IN.MH.MU,63.15214957
89608b09553ffff,IN.MH.MU,65.93736061
89608b0b0a7ffff,IN.MH.MU,74.08647615
