poi_code,home_h9,state,district,district_code,city,village,house_price_wbi,poi_wbi,gwpca_wbi,local_weight_house,local_weight_poi,explained_variance,version,country
POI_IND_9999_0x3be7c9bdc1e4737f:0xcb8f2550ac24cca0,89608b096c7ffff,Maharashtra,Mumbai Suburban,IN.MH.MU,Mumbai Suburban,Mumbai Suburban,71.13155657022143,77.12453604249723,78.93480779883426,0.6488747476752527,0.3511252523247473,70.85635434296847,4.2.3,IND
POI_IND_9999_0x3be7c90318119bad:0x64a62b32d109c2b0,89608b096c7ffff,Maharashtra,Mumbai Suburban,IN.MH.MU,Mumbai Suburban,Mumbai Suburban,71.13155657022143,77.12453604249723,78.93480779883426,0.6488747476752527,0.3511252523247473,70.85635434296847,4.2.3,IND
POI_IND_9999_0x3be7b75832924a91:0x50bbeed1c05a09d2,89608b0b517ffff,Maharashtra,Mumbai,IN.MH.AA,Mumbai,Greater Mumbai,35.89425293214655,70.4995938,17.953266949292114,0.8031624074181446,0.19683759258185538,78.86464386728169,4.2.3,IND
POI_IND_9999_0x3be7ced23bb30573:0xd1fb1f926ce3bfdc,89608b56a6fffff,Maharashtra,Mumbai Suburban,IN.MH.MU,Mumbai Suburban,Mumbai Suburban,55.818287130227596,69.09201488659724,59.95320159262286,0.625779254,0.374220746,70.07617663970926,4.2.3,IND
POI_IND_9999_0x3be79414d6f32f3b:0xc1a9b011c44124fb,89608a2687bffff,Maharashtra,Thane,IN.MH.TN,Ambarnath,Ambarnath,61.944492771977586,62.29810130237273,56.41618562761999,0.5840659711401472,0.4159340288598528,70.09697533288934,4.2.3,IND
POI_IND_9999_0x3be7b70016edf539:0xb5a421d2c1e5c7d8,89608b0b017ffff,Maharashtra,Mumbai Suburban,IN.MH.MU,Mumbai Suburban,Mumbai Suburban,83.17895226677999,71.69494062157167,87.66330644595284,0.6327078216202473,0.36729217837975264,69.81839095927455,4.2.3,IND
POI_IND_9999_0x3be7b900a0764e31:0xdb55dfaee9ec1425,89608b42117ffff,Maharashtra,Thane,IN.MH.TN,Thane,Thane,50.444752771969206,83.77719963497002,58.53710993537435,0.6090427135835061,0.39095728641649374,68.85623799,4.2.3,IND
POI_IND_9999_0x3be7c94f731e8d61:0x7ae2f2cfb614b74b,89608852ab7ffff,Maharashtra,Pune,IN.MH.PU,Pune City,Pune,47.85063020913338,80.45379894304227,49.269082129838054,0.6550065580675464,0.3449934419324536,66.99848141301634,4.2.3,IND
POI_IND_9999_0x3be7b1b5e71c8c4b:0x1155d60d3582da94,89608b452b3ffff,Maharashtra,Thane,IN.MH.TN,Thane,Mira-Bhayandar,94.01380741888727,81.40855915013954,97.94583438392596,0.6185991009024534,0.3814008990975467,70.65651330075941,4.2.3,IND
POI_IND_9999_0x3be7b716bb3bda57:0xc01686d6d0a4994c,89608b442a3ffff,Maharashtra,Mumbai Suburban,IN.MH.MU,Mumbai Suburban,Mumbai Suburban,38.08630412451353,60.70050154880947,38.5449781,0.6171701484624456,0.38282985153755444,70.62963013885366,4.2.3,IND
