poi_code,cost_for_two
0x3be7c9b5ef98de73:0xf4177dac64a10dbf,"₹3,000 for two"
0x3be7c9164e9de569:0x92851d0b8544a2d9,"₹2,200 for two"
0x3be7d100a0c754ad:0x22b5205d73f42312,"₹2,500 for two"
0x3be7d1e7a1ae8dc5:0x470f3f1aff27975c,"₹2,100 for two"
0x3be7bb9bdfbaf40d:0xb315c5d9673fc410,"₹2,600 for two"
0x3be7b100a30e3ba7:0x5d40649876da17,"₹1,900 for two"
0x3be7d108addbcf4b:0xb08293d3cc539522,"₹2,500 for two"
0x3be7c913a80446df:0x6154a7a16f7374e3,"₹1,800 for two"
0x3be7c948b8aa65e9:0x12777984593b2232,"₹2,200 for two"
0x3be7c9654c65e3d1:0x44243010eaee1af7,"₹4,500 for two"
0x3be7c916035da32f:0x6945c22db7f09ba7,
0x3be7af7899b53623:0xecb3b7b5677b328f,"₹1,900 for two"
0x3be7e9b2b905eec1:0xc44710988ace0a78,"₹1,800 for two"
0x3be7b12d986fd809:0x2e0eb9d1da20c77a,"₹2,500 for two"
0x3be7b619427b41f3:0x28075330c2d35dbb,"₹3,000 for two"
0x3be7c9164ff01d63:0xc657d0a51981ef00,"₹2,500 for two"
0x3be7b7fc410d2bcd:0xa9d9903577b67e20,"₹2,800 for two"
0x3be7cf70bc0d6677:0xb35c7193245a4c90,"₹1,800 for two"
0x3be7b12deb70e361:0x4ac49707093c0985,"₹1,000 for two"
0x3be7c9149fb7f017:0xacaac82ab61a1561,"₹3,500 for two"
0x3be7d198bc17c8bd:0x49ed8a9839b7d0aa,"₹2,500 for two"
0x3be7d1da67679c35:0xc44096d9101d09c8,"₹3,500 for two"
0x3be7d1e6fe6a3b6d:0xc75f1b5bc472d7ad,"₹2,800 for two"
0x3be7d1c134444d77:0x13d5dadf1d5bf201,"₹3,000 for two"
0x3be7d1bff217938f:0x94b35038f7c0094,"₹3,000 for two"
0x3be7d1e610529681:0x6f80771e51b18d48,"₹4,300 for two"
0x3be7b12ea94f9d77:0xf2a6a2f8041dd07c,"₹1,300 for two"
