,precision,recall,f1-score,support
Beer licence ,0.0,0.0,0.0,1.0
Influencer,0.0,0.0,0.0,7.0
Mainstream,0.9994946942900454,0.98998998998999,0.9947196379180286,1998.0
Premium,0.8956356736242884,0.9978858350951374,0.944,473.0
Super Premium,0.9928057553956835,0.8313253012048193,0.9049180327868852,166.0
accuracy,0.9784499054820416,0.9784499054820416,0.9784499054820416,0.9784499054820416
macro avg,0.5775872246620034,0.5638402252579893,0.5687275341409828,2645.0
weighted avg,0.9774789520648326,0.9784499054820416,0.9770050018914346,2645.0
