model,cv_acc,test_acc,accuracy,Mainstream_precision,Mainstream_recall,Mainstream_f1,Premium_precision,Premium_recall,Premium_f1,Super Premium_precision,Super Premium_recall,Super Premium_f1,params
GBM (tuned),0.9418439716312057,0.9300567107750473,0.9300567107750473,0.9896907216494846,0.96,0.9746192893401014,0.75,0.9157894736842105,0.8246445497630333,0.84,0.6176470588235294,0.711864406779661,"{""n_estimators"": 300, ""max_depth"": 5, ""learning_rate"": 0.05, ""subsample"": 0.7}"
RF (tuned),0.9361702127659575,0.9243856332703214,0.9243856332703214,0.9771573604060914,0.9625,0.9697732997481108,0.7477477477477478,0.8736842105263158,0.8058252427184467,0.875,0.6176470588235294,0.7241379310344829,"{""n_estimators"": 500, ""max_depth"": null, ""min_samples_leaf"": 2}"
Extra Trees,0.8851063829787233,0.8714555765595463,0.8714555765595463,0.9916201117318436,0.8875,0.9366754617414247,0.5944055944055944,0.8947368421052632,0.7142857142857143,0.75,0.6176470588235294,0.6774193548387097,"{""n_estimators"": 500, ""max_depth"": 8, ""min_samples_leaf"": 3, ""class_weight"": ""balanced"", ""max_features"": ""sqrt""}"
k-NN (tuned),0.9044917257683215,0.9111531190926276,0.9111531190926276,0.9467312348668281,0.9775,0.961869618696187,0.7634408602150538,0.7473684210526316,0.7553191489361704,0.8695652173913043,0.5882352941176471,0.7017543859649124,"{""n_neighbors"": 9, ""weights"": ""distance"", ""metric"": ""manhattan""}"
Semi-Supervised,0.9385342789598109,0.9224952741020794,0.9224952741020794,0.9870801033591732,0.955,0.9707750952986023,0.7327586206896551,0.8947368421052632,0.8056872037914692,0.8076923076923077,0.6176470588235294,0.7,"{""gbm_params"": {""n_estimators"": 300, ""max_depth"": 5, ""learning_rate"": 0.05, ""subsample"": 0.7}, ""confidence_threshold"": 0.88}"
Stacking,0.9437352245862884,0.9395085066162571,0.9395085066162571,0.9824561403508771,0.98,0.981226533166458,0.8,0.8842105263157894,0.8400000000000001,0.84,0.6176470588235294,0.711864406779661,"{""base_models"": [""GBM1"", ""GBM2"", ""GBM3"", ""RF"", ""ET"", ""KNN""], ""meta"": {""max_iter"": 2000, ""C"": 1.0}}"
Majority Vote,0.9408983451536643,0.9338374291115312,0.9338374291115312,0.9847715736040609,0.97,0.9773299748110831,0.7727272727272727,0.8947368421052632,0.8292682926829269,0.84,0.6176470588235294,0.711864406779661,"{""members"": [""GBM"", ""RF"", ""ET"", ""KNN"", ""Semi-Supervised"", ""Stacking""]}"
